,premium,medium,bad
2017-01-01,9431.37,9099.52,8669.3
2017-02-01,9408.39,9047.57,8583.76
2017-03-01,9388.53,8705.43,8339.21
2017-04-01,9324.6,8653.8,8306.48
2017-05-01,9436.19,8790.17,8374.33
2017-06-01,9444.28,8794.48,8380.34
2017-07-01,9383.68,8743.86,8357.87
2017-08-01,9436.74,8823.05,8436.37
2017-09-01,9470.59,8935.02,8672.42
2017-10-01,9502.67,9116.5,8833.99
2017-11-01,9538.75,9279.52,9039.44
2017-12-01,9860.39,9526.01,9308.9
2018-01-01,10349.91,10177.05,9792.59
2018-02-01,10381.74,10215.16,9987.1
2018-03-01,9892.56,9698.23,9554.06
2018-04-01,9524.96,9220.84,8991.36
2018-05-01,9523.88,9190.37,9001.5
2018-06-01,9478.05,9135.41,8941.38
2018-07-01,9519.93,9197.78,9014.56
2018-08-01,9458.07,9172.27,8976.97
2018-09-01,9572.03,9309.98,9125.0
2018-10-01,9645.3,9395.39,9193.73
2018-11-01,9770.97,9603.63,9425.68
2018-12-01,9818.07,9798.38,9432.32
